0.8000,0.7367,0.7344,0.0346
0.4000,0.9100,1.7826,0.6794
0.2000,0.7778,0.7919,0.1878
0.2000,1.2025,1.9041,0.1801
0.2000,0.7602,0.6402,0.7904
0.8000,1.1279,1.7849,0.8133
0.0000,0.7465,0.6968,0.5346
0.6000,1.1260,1.7862,0.2387
0.8000,1.3253,0.7818,0.6002
0.8000,0.6106,1.7844,0.1727
0.8000,0.8809,0.5013,0.1720
0.0000,1.3185,1.8349,0.5563
0.6000,0.7161,0.7346,0.3202
0.0000,0.9955,1.6813,0.1836
0.4000,0.9149,0.8372,0.5870
0.2000,0.8322,1.8503,0.8894
0.0000,1.2276,0.7462,0.0877
0.8000,0.9715,1.8715,0.4428
0.2000,0.9443,0.7437,0.3808
0.0000,0.7704,1.5685,0.9321
0.6000,1.3202,0.7155,0.1510
0.4000,0.9235,1.7516,0.7041
0.4000,1.2280,0.7331,0.5685
0.0000,0.7504,1.7673,0.7040
0.4000,0.9139,0.8164,0.7608
0.6000,1.1262,1.7240,0.9241
0.8000,1.3662,0.7126,0.4092
0.0000,0.8995,1.6899,0.2154
0.8000,0.6791,0.6605,0.5793
0.0000,0.8571,1.6730,0.5726
0.6000,1.3339,0.7315,0.0620
0.0000,0.8272,1.8768,0.2618
0.0000,0.7399,0.6902,0.8120
0.4000,0.3365,1.7075,0.0254
0.2000,0.6316,0.7530,0.1408
0.4000,1.2430,1.7284,0.9037
0.4000,1.2221,0.9379,0.2102
0.0000,1.1966,1.7447,0.3646
0.2000,0.7182,0.7437,0.2124
0.8000,1.1225,1.8317,0.3621
0.2000,0.7801,0.6580,0.8474
0.2000,0.7087,1.8014,0.5867
0.0000,0.9226,0.6917,0.3331
0.8000,0.8532,1.6506,0.6633
0.4000,0.5704,0.8081,0.2881
0.8000,1.0916,1.7808,0.6797
0.4000,1.0844,0.6326,0.7728
0.2000,1.0478,1.5485,0.3576
0.4000,0.6894,0.7715,0.9150
0.4000,0.9707,1.8657,0.9143
